total instructions,1560

integer computation,735
branching,290
memory access,477
mul and div,9
csr,13
floating point operations,32
misc,4

addi,209
ori,1
andi,14
slli,14
srai,1
li,153
lui,6
auipc,129
add,22
sub,9
or,7
and,1
addiw,27
slliw,6
slli,14
srli,1
srai,1
addw,7
subw,7
mv,93
not,1
neg,2
sext.w,10
jal,90
jalr,12
beq,13
bne,11
blt,5
bge,3
bltu,8
bgeu,11
bgez,2
bgtz,1
blez,5
bltz,2
bnez,21
beqz,20
j,42
jr,1
ret,42
mret,1
lw,47
lbu,41
lhu,4
sb,15
sh,4
sw,47
ld,156
sd,162
lwu,1
mul,1
div,2
divu,1
remu,2
mulw,2
divw,1
csrs,2
csrr,7
csrw,3
fscsr,1
fmv.w.x,32
fence,4


total instructions,2294

integer computation,1156
branching,200
memory access,232
mul and div,3
csr,621
floating point operations,57
misc,25

addi,492
ori,1
andi,10
slli,150
srai,1
li,119
lui,7
auipc,33
add,23
sub,8
or,6
and,1
addiw,19
slliw,2
slli,150
srli,2
srai,1
addw,8
subw,3
c.slli,22
mv,76
not,1
neg,2
sext.w,19
jal,21
jalr,20
beq,10
bne,12
blt,7
bge,4
bltu,6
bgeu,9
bgez,2
bgtz,1
blez,3
bltz,2
bnez,19
beqz,15
j,40
jr,1
ret,27
mret,1
lb,6
lw,13
lbu,28
sb,11
sw,10
ld,68
sd,95
lwu,1
divu,1
remu,2
csrs,2
csrr,5
csrw,3
fscsr,1
unimp,610
fmadd.s,3
fmsub.s,3
fnmsub.s,9
fnmadd.s,6
fadd.s,4
fmv.w.x,32
fence,4
nop,2
c.nop,19


total instructions,3876

integer computation,1335
branching,305
memory access,717
mul and div,61
csr,15
floating point operations,1435
misc,8

addi,271
ori,1
andi,14
slli,130
srai,1
li,205
lui,23
auipc,31
add,213
sub,17
xor,17
or,23
and,21
addiw,18
slliw,2
slli,130
srli,18
srai,1
addw,4
subw,4
mv,177
not,1
neg,2
sext.w,11
jal,34
jalr,12
beq,11
bne,33
blt,4
bge,1
bltu,38
bgeu,23
bgez,2
bgtz,1
blez,3
bltz,2
bnez,27
beqz,33
j,50
jr,1
ret,29
mret,1
lw,10
lbu,28
sb,8
sw,8
ld,372
sd,290
lwu,1
mul,29
divu,24
remu,8
csrs,2
csrr,9
csrw,3
fscsr,1
fmv.w.x,32
fld,505
fsd,176
fmadd.d,693
fadd.d,3
fsub.d,1
fmul.d,2
flt.d,1
fmv.x.d,2
fcvt.d.l,17
fmv.d.x,3
fence,8


total instructions,2223

integer computation,640
branching,197
memory access,399
mul and div,27
csr,722
floating point operations,32
misc,206

addi,161
ori,1
andi,11
slli,13
srai,1
li,114
lui,5
auipc,40
add,42
sub,11
or,6
and,1
addiw,19
slliw,2
slli,13
srli,4
srai,1
addw,20
subw,3
c.slli,70
mv,82
not,1
neg,2
sext.w,17
jal,18
jalr,12
beq,18
bne,15
blt,4
bge,1
bltu,6
bgeu,10
bgez,2
bgtz,1
blez,3
bltz,2
bnez,19
beqz,18
j,39
jr,1
ret,27
mret,1
lb,122
lw,44
lbu,28
sb,17
sw,9
ld,73
sd,105
lwu,1
mul,4
divu,4
remu,4
mulw,15
csrs,2
csrr,9
csrw,3
fscsr,1
unimp,707
fmv.w.x,32
fence,8
nop,136
c.nop,62


total instructions,11965

integer computation,839
branching,200
memory access,1799
mul and div,17
csr,8953
floating point operations,150
misc,7

addi,109
ori,1
andi,10
slli,13
srai,1
li,111
lui,49
auipc,48
add,21
sub,12
xor,40
or,6
and,1
addiw,19
slliw,2
slli,13
srli,1
srai,1
addw,5
subw,3
c.li,277
mv,83
not,1
neg,2
sext.w,10
jal,26
jalr,12
beq,11
bne,11
blt,4
bge,1
bltu,7
bgeu,10
bgez,2
bgtz,1
blez,3
bltz,2
bnez,20
beqz,20
j,39
jr,1
ret,29
mret,1
lw,1588
lbu,28
sb,8
sw,8
ld,67
sd,99
lwu,1
mul,2
divu,9
remu,6
csrs,2
csrr,13
csrw,3
fscsr,1
unimp,8934
fmv.w.x,32
fld,113
fsd,2
fadd.d,1
feq.d,2
fence,7


total instructions,1390

integer computation,639
branching,189
memory access,279
mul and div,3
csr,183
floating point operations,64
misc,33

addi,211
ori,1
andi,11
slli,47
srai,2
li,111
lui,4
auipc,31
add,16
sub,8
xor,1
or,6
and,1
addiw,19
slliw,3
slli,47
srli,1
srai,2
addw,6
subw,3
sllw,1
c.li,1
c.slli,10
mv,81
not,1
neg,2
sext.w,12
jal,19
jalr,13
beq,10
bne,13
blt,4
bge,1
bltu,6
bgeu,9
bgez,2
bgtz,1
blez,3
bltz,2
bnez,22
beqz,17
j,38
jr,1
ret,27
mret,1
lb,10
lw,23
lbu,28
sb,9
sw,16
ld,87
sd,105
lwu,1
divu,1
remu,2
csrs,2
csrr,5
csrw,3
fscsr,1
unimp,172
fmadd.s,2
fmsub.s,3
fnmsub.s,2
fnmadd.s,3
fadd.s,4
fmv.w.x,32
fld,8
fsd,10
fence,4
nop,17
c.nop,12


total instructions,66050

integer computation,22374
branching,4410
memory access,18607
mul and div,12
csr,3108
atomic,30
floating point operations,17349
misc,160

addi,2632
slti,33
sltiu,219
xori,48
ori,30
andi,359
slli,1123
srai,271
li,5228
lui,1845
auipc,464
add,592
sub,70
sltu,2
xor,37
sra,20
or,42
and,35
addiw,6601
slliw,2
sraiw,16
slli,1123
srli,306
