total instructions,2515
""
integer computation,1282
branching,197
memory access,243
mul and div,3
csr,689
floating point operations,68
misc,33
""
addi,517
ori,1
andi,10
slli,195
srai,1
li,115
lui,12
auipc,35
add,28
sub,8
or,6
and,1
addiw,19
slliw,2
slli,195
srli,2
srai,1
addw,11
subw,3
c.slli,20
mv,79
not,1
neg,2
sext.w,18
jal,21
jalr,18
beq,10
bne,14
blt,4
bge,1
bltu,6
bgeu,9
bgez,2
bgtz,1
blez,4
bltz,2
bnez,19
beqz,19
j,38
jr,1
ret,27
mret,1
lb,4
lw,16
lbu,28
sb,15
sw,8
ld,72
sd,99
lwu,1
divu,1
remu,2
csrs,2
csrr,5
csrw,3
fscsr,1
unimp,678
fmadd.s,10
fmsub.s,3
fnmsub.s,10
fnmadd.s,8
fadd.s,5
fmv.w.x,32
fence,4
nop,3
c.nop,26
